objectid,filename,title,format,description
arthursworld001,apple_orchard_chesterton.jpg,"Apple Orchard, Chesterton, Indiana",image/jpg,"Postcard of an apple orchard in Chesterton, Indiana."
arthursworld002,birdseye_view_chesterton.jpg,"Birdseye View of Chesterton, Indiana",image/jpg,"Postcard of an aerial view of Chesterton, Indiana."
arthursworld003,business_district_chesterton.jpeg,"Business District, Chesterton, Indiana",image/jpeg,"Postcard of the business district in Chesterton, Indiana."
arthursworld004,lake_shore_michigan_southern_depot_chesterton.jpg,"Lake Shore & Michigan Southern Railway Depot, Chesterton, Indiana",image/jpg,"Postcard of the Lake Shore & Michigan Southern railway depot in Chesterton, Indiana."
arthursworld005,main_street_chesterton.jpg,"Main Street, Chesterton, Indiana",image/jpg,"Postcard of Main Street (now present-day Broadway Avenue) looking east in Chesterton, Indiana."
arthursworld006,pretty_residence_chesterton.jpg,"Pretty Residence, Chesterton, Indiana",image/jpg,"Postcard of a residential home in Chesterton, Indiana."
arthursworld007,scene_at_chesterton.jpg,"Indiana Avenue, Chesterton, Indiana",image/jpg,"Postcard of Indiana Avenue looking west in Chesterton, Indiana."
arthursworld008,street_scene_chesterton.jpeg,"Street Scene, Chesterton, Indiana",image/jpeg,"Postcard of a residential street in Chesterton, Indiana."
arthursworld009,water_works_chesterton.jpg,"Water Works, Chesterton, Indiana",image/jpg,"Postcard of a water tower in Chesterton, Indiana."
arthursworld010,woods_scene_chesterton.jpg,"Woods Scene, Chesterton, Indiana",image/jpg,"Postcard of a wooded area in Chesterton, Indiana."
arthursworld011,along_the_calumet_porter.jpg,"Along the Calumet River, Porter, Indiana",image/jpg,"Postcard of what is presently known as the Little Calumet River East Branch in Porter, Indiana."
arthursworld012,augsburg_church_and_cemetery_porter.jpg,"Augsburg Lutheran Church and Cemetery, Porter, Indiana",image/jpg,"Postcard of the Augsburg Lutheran Church and its cemetery in Porter, Indiana."
arthursworld013,augsburg_church_porter.jpg,"Augsburg Lutheran Church, Porter, Indiana",image/jpg,"Postcard of the Augsburg Lutheran Church in Porter, Indiana."
arthursworld014,boulevard_porter.jpeg,"Mineral Springs Road, Porter, Indiana",image/jpeg,"Postcard of Mineral Springs Road looking north in Porter, Indiana."
arthursworld015,franklin_street_porter.jpeg,"Franklin Street, Porter, Indiana",image/jpeg,"Postcard of Franklin Street in Porter, Indiana."
arthursworld016,lincoln_street_porter.jpeg,"Lincoln Street, Porter, Indiana",image/jpeg,"Postcard of Lincoln Street looking northwest in Porter, Indiana."
arthursworld017,post_office_porter.jpg,"Post Office, Porter, Indiana",image/jpg,"Postcard of the post office in Porter, Indiana."
arthursworld018,scene_at_porter.jpg,"Beam Street, Porter, Indiana",image/jpg,"Postcard of Beam Street in Porter, Indiana featuring a young boy, a cow, and two onlookers."
arthursworld019,street_scene_porter.jpeg,"Street Scene, Porter, Indiana",image/jpeg,"Postcard of a residential street in Porter, Indiana featuring two children."
arthursworld020,town_hall_porter.jpg,"Town Hall, Porter, Indiana",image/jpg,"Postcard of the town hall in Porter, Indiana."
